Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated,attr_id,attr_last_triggered,attr_mode,attr_current
"sensor","sensor.nas02_usb_disk_1_partition_1_partitionsgrosse","nas02 (USB Disk 1 Partition 1) Partitionsgröße","unavailable","GiB","data_size","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nas02_usb_disk_1_status","nas02 (USB Disk 1) Status","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nas02_volume_1_belegter_speicherplatz","nas02 (Volume 1) Belegter Speicherplatz","9.478144053248","TB","data_size","30/08/2026, 00:31:11","30/08/2026, 00:31:11","","","",""
"sensor","sensor.nas02_volume_1_durchschnittliche_festplattentemperatur","nas02 (Volume 1) Durchschnittliche Festplattentemperatur","30.0","°C","temperature","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_volume_1_status","nas02 (Volume 1) Status","attention","","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nas02_volume_1_verwendetes_volumen","nas02 (Volume 1) Volume-Nutzung","82.4","%","","30/08/2026, 00:01:07","30/08/2026, 00:01:07","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_aktiver_benutzer_am_letzten_tag","nc.schmidt4lev.de Anzahl aktiver Benutzer am letzten Tag","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_aktiver_benutzer_in_den_letzten_5_minuten","nc.schmidt4lev.de Anzahl aktiver Benutzer in den letzten 5 Minuten","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_aktiver_benutzer_in_der_letzten_stunde","nc.schmidt4lev.de Anzahl aktiver Benutzer in der letzten Stunde","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_anderer_speicherplatze","nc.schmidt4lev.de Anzahl anderer Speicherplätze","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_benutzerfreigaben","nc.schmidt4lev.de Anzahl Benutzerfreigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_der_benutzer","nc.schmidt4lev.de Anzahl der Benutzer","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_der_dateien","nc.schmidt4lev.de Anzahl der Dateien","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_der_lokalen_speicherplatze","nc.schmidt4lev.de Anzahl der lokalen Speicherplätze","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_der_speicherplatze","nc.schmidt4lev.de Anzahl der Speicherplätze","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_der_speicherplatze_zuhause","nc.schmidt4lev.de Anzahl der Speicherplätze zuhause","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_e_mail_freigaben","nc.schmidt4lev.de Anzahl E-Mail-Freigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_erhaltener_freigaben","nc.schmidt4lev.de Anzahl erhaltener Freigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_freigaben","nc.schmidt4lev.de Anzahl Freigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_gesendeter_freigaben","nc.schmidt4lev.de Anzahl gesendeter Freigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_gruppenfreigaben","nc.schmidt4lev.de Anzahl Gruppenfreigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_linkfreigaben","nc.schmidt4lev.de Anzahl Linkfreigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_passwortloser_linkfreigaben","nc.schmidt4lev.de Anzahl passwortloser Linkfreigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_anzahl_raumfreigaben","nc.schmidt4lev.de Anzahl Raumfreigaben","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.nc_schmidt4lev_de_apps_installiert","nc.schmidt4lev.de Apps installiert","unavailable","","","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
